"country","2013","2014","2015"
"Tonga",0.20885,0.22293,0.2253
"Trinidad and Tobago",46.5035,45.8848,45.2387
"Tunisia",27.6449,29.1693,31.4867
"Turkey",354.961,382.2134,386.3137
"Turkmenistan",66.8387,77.0034,90.7383
"Turks and Caicos Islands",0.19786,0.20267,0.20722
"Uganda",4.8914,5.0319,5.085
"Ukraine",287.4364,247.5612,201.5084
"United Arab Emirates",168.9837,169.5881,176.493
"United Kingdom",475.8321,434.7946,416.7987
"United States of America",5502.551,5556.007,5413.567
"Uruguay",7.5991,7.7774,7.9392
"Uzbekistan",103.1416,107.073,109.3152
"Vanuatu",0.10626,0.11342,0.11463
"Venezuela",185.3801,181.6484,174.7298
"Vietnam",152.4993,168.3994,184.2105
"Wallis and Futuna Islands",0.021984,0.023466,0.023716
"Western Sahara",NA,NA,NA
"Yemen",25.3256,25.9483,26.1046
"Zambia",3.8216,4.0275,4.0531
"Zimbabwe",13.7693,16.9794,16.5945
