"","Country.Name","Country.Code","X2014","X2015","X2016"
"158","Pakistan","PAK",2.44361e+11,2.7105e+11,2.8366e+11
"159","Panama","PAN",49165773100,52132289700,55187700000
"160","Peru","PER",2.0105e+11,1.89212e+11,1.92094e+11
"161","Philippines","PHL",2.84585e+11,2.92774e+11,3.04905e+11
"162","Palau","PLW",250900000,287400000,2.93e+08
"163","Poland","POL",5.45152e+11,4.77337e+11,4.69509e+11
"164","Pre-demographic dividend","PRE",1.49194e+12,1.2969e+12,1.19474e+12
"165","Portugal","PRT",2.2963e+11,1.99082e+11,2.04565e+11
"166","Paraguay","PRY",30881166852,27282581336,27440632934
"167","West Bank and Gaza","PSE",12715600000,1.2673e+10,13397100000
"168","Pacific island small states","PSS",8780810605,8577127157,8888374720
"169","Post-demographic dividend","PST",4.66852e+13,4.40818e+13,4.50721e+13
"170","Qatar","QAT",2.06225e+11,1.64641e+11,1.52469e+11
"171","Romania","ROU",1.99493e+11,1.77523e+11,1.86691e+11
"172","Russian Federation","RUS",2.06366e+12,1.36587e+12,1.28316e+12
"173","Rwanda","RWA",8016288347,8261034258,8376048905
"174","South Asia","SAS",2.5771e+12,2.705e+12,2.89636e+12
"175","Saudi Arabia","SAU",7.5635e+11,6.5427e+11,6.46438e+11
"176","Sudan","SDN",82151588419,97156119150,95584380032
"177","Senegal","SEN",15308965399,13609978076,14765462631
"178","Singapore","SGP",3.08143e+11,2.96841e+11,2.96966e+11
"179","Solomon Islands","SLB",1156563123,1129164719,1202125000
"180","Sierra Leone","SLE",5015157816,4251779857,3668876080
"181","El Salvador","SLV",25054230000,26052340000,26797470000
"182","Somalia","SOM",5.647e+09,5.925e+09,6.217e+09
"183","Serbia","SRB",44210806366,37160332465,37745114708
"184","Sub-Saharan Africa (excluding high income)","SSA",1.77364e+12,1.59968e+12,1.49657e+12
"185","Sub-Saharan Africa","SSF",1.77506e+12,1.60111e+12,1.498e+12
"186","Small states","SST",5.21843e+11,4.44167e+11,4.31168e+11
"187","Sao Tome and Principe","STP",348463457.9,317696178.7,351054248.5
"188","Suriname","SUR",5240606061,4878731707,3620699735
"189","Slovak Republic","SVK",1.00761e+11,87267593788,89551834323
"190","Slovenia","SVN",49530147016,42776716631,43990635176
"191","Sweden","SWE",5.73818e+11,4.95694e+11,5.11e+11
"192","Swaziland","SWZ",4486261555,4137638727,3727303664
"193","Seychelles","SYC",1422530792,1437722206,1427323889
"194","Chad","TCD",13922223234,10888798114,9600761474
"195","East Asia & Pacific (IDA & IBRD countries)","TEA",1.27235e+13,1.32419e+13,1.34849e+13
"196","Europe & Central Asia (IDA & IBRD countries)","TEC",4.62395e+12,3.59744e+12,3.44863e+12
"197","Togo","TGO",4482880424,4087628276,4399995987
"198","Thailand","THA",4.06522e+11,3.99235e+11,4.0684e+11
"199","Tajikistan","TJK",9236309138,7853450374,6951657159
"200","Turkmenistan","TKM",43524210526,35799628571,36179885714
"201","Latin America & the Caribbean (IDA & IBRD countries)","TLA",6.0605e+12,5.15266e+12,4.99972e+12
"202","Tonga","TON",443475142.1,435430325.2,395159628.8
"203","South Asia (IDA & IBRD)","TSA",2.5771e+12,2.705e+12,2.89636e+12
"204","Sub-Saharan Africa (IDA & IBRD countries)","TSS",1.77506e+12,1.60111e+12,1.498e+12
"205","Trinidad and Tobago","TTO",26175906133,23559287484,20989155540
"206","Tunisia","TUN",47603227897,43156606852,42062549395
"207","Turkey","TUR",9.34168e+11,8.59384e+11,8.57749e+11
"208","Tuvalu","TUV",37259689.92,32673277.74,34218878.44
"209","Tanzania","TZA",48197218327,45628247290,47431038892
"210","Uganda","UGA",27927875336,27856380083,25527910091
"211","Ukraine","UKR",1.33503e+11,91030959455,93270479389
"212","Upper middle income","UMC",2.20996e+13,2.06795e+13,2.04775e+13
"213","Uruguay","URY",57236013078,53274304215,52419720714
"214","United States","USA",1.73931e+13,1.80366e+13,1.85691e+13
"215","Uzbekistan","UZB",63067077179,66903804143,67220335570
"216","St. Vincent and the Grenadines","VCT",727912814.8,737683555.6,770796555.6
"217","Vietnam","VNM",1.86205e+11,1.93241e+11,2.02616e+11
"218","Vanuatu","VUT",814954307,742432131,773502895.9
"219","World","WLD",7.88701e+13,7.45097e+13,7.55435e+13
"220","Samoa","WSM",803574789.1,803976511.5,785916937.4
"221","Kosovo","XKX",7386891336,6440501275,6649888889
"222","Yemen, Rep.","YEM",43228583935,37733919936,27317605346
"223","South Africa","ZAF",3.50851e+11,3.17407e+11,2.94841e+11
"224","Zambia","ZMB",27150630607,21154394546,19551093303
"225","Zimbabwe","ZWE",15834069900,16072380200,16289212000
