Country Name,Country Code,Indicator Name,2013,2014,2015,2016
Namibia,NAM,"Life expectancy at birth, total (years)",61.84543902,62.83892683,63.63643902,
New Caledonia,NCL,"Life expectancy at birth, total (years)",77.32195122,77.57317073,77.77317073,
Niger,NER,"Life expectancy at birth, total (years)",58.73880488,59.2405122,59.68187805,
Nigeria,NGA,"Life expectancy at birth, total (years)",52.11270732,52.54134146,52.97792683,
Nicaragua,NIC,"Life expectancy at birth, total (years)",74.49809756,74.77278049,75.038,
Netherlands,NLD,"Life expectancy at birth, total (years)",81.30487805,81.70731707,81.70731707,
Norway,NOR,"Life expectancy at birth, total (years)",81.75121951,82.1,82.1,
Nepal,NPL,"Life expectancy at birth, total (years)",69.11817073,69.49897561,69.86985366,
New Zealand,NZL,"Life expectancy at birth, total (years)",81.40731707,81.40487805,81.45682927,
OECD members,OED,"Life expectancy at birth, total (years)",79.90576587,80.14410427,80.28312399,
Oman,OMN,"Life expectancy at birth, total (years)",76.66829268,76.89456098,77.12182927,
Other small states,OSS,"Life expectancy at birth, total (years)",66.53652306,66.95622134,67.33112903,
Pakistan,PAK,"Life expectancy at birth, total (years)",65.93858537,66.14919512,66.33217073,
Panama,PAN,"Life expectancy at birth, total (years)",77.43263415,77.62543902,77.81743902,
Peru,PER,"Life expectancy at birth, total (years)",74.26678049,74.48536585,74.71341463,
Philippines,PHL,"Life expectancy at birth, total (years)",68.73495122,68.87017073,69.00985366,
Papua New Guinea,PNG,"Life expectancy at birth, total (years)",65.08585366,65.23407317,65.38770732,
Poland,POL,"Life expectancy at birth, total (years)",77,77.60243902,78.20487805,
Pre-demographic dividend,PRE,"Life expectancy at birth, total (years)",58.56164834,59.04751617,59.50281022,
Puerto Rico,PRI,"Life expectancy at birth, total (years)",79.16739024,79.39012195,79.59612195,
"Korea, Dem. People¡¯s Rep.",PRK,"Life expectancy at birth, total (years)",70.60787805,70.95207317,71.2387561,
Portugal,PRT,"Life expectancy at birth, total (years)",80.72195122,81.12195122,81.52195122,
Paraguay,PRY,"Life expectancy at birth, total (years)",72.8037561,72.93241463,73.04297561,
West Bank and Gaza,PSE,"Life expectancy at birth, total (years)",72.95546341,73.12812195,73.30168293,
Pacific island small states,PSS,"Life expectancy at birth, total (years)",70.32411046,70.54402369,70.75254202,
Post-demographic dividend,PST,"Life expectancy at birth, total (years)",80.29448189,80.5272136,80.64646234,
French Polynesia,PYF,"Life expectancy at birth, total (years)",76.31997561,76.50695122,76.6915122,
Qatar,QAT,"Life expectancy at birth, total (years)",78.13973171,78.3035122,78.46270732,
Romania,ROU,"Life expectancy at birth, total (years)",75.06341463,74.96097561,74.96097561,
Russian Federation,RUS,"Life expectancy at birth, total (years)",70.57878049,70.74365854,70.90853659,
Rwanda,RWA,"Life expectancy at birth, total (years)",65.52270732,66.11334146,66.62087805,
South Asia,SAS,"Life expectancy at birth, total (years)",67.90665104,68.20916845,68.48545298,
Saudi Arabia,SAU,"Life expectancy at birth, total (years)",74.21821951,74.39739024,74.5744878,
Sudan,SDN,"Life expectancy at birth, total (years)",63.68578049,63.97473171,64.22941463,
Senegal,SEN,"Life expectancy at birth, total (years)",65.80073171,66.25782927,66.66143902,
Singapore,SGP,"Life expectancy at birth, total (years)",82.24634146,82.49512195,82.59512195,
Solomon Islands,SLB,"Life expectancy at birth, total (years)",69.82241463,70.16231707,70.47668293,
Sierra Leone,SLE,"Life expectancy at birth, total (years)",50.39253659,50.94260976,51.41285366,
El Salvador,SLV,"Life expectancy at birth, total (years)",72.49853659,72.75529268,73.00309756,
Somalia,SOM,"Life expectancy at birth, total (years)",55.0724878,55.46568293,55.87285366,
Serbia,SRB,"Life expectancy at birth, total (years)",75.18536585,75.33658537,75.48780488,
Sub-Saharan Africa (excluding high income),SSA,"Life expectancy at birth, total (years)",58.84731309,59.39858813,59.90058785,
South Sudan,SSD,"Life expectancy at birth, total (years)",55.27231707,55.7964878,56.30258537,
Sub-Saharan Africa,SSF,"Life expectancy at birth, total (years)",58.8486612,59.39987928,59.90182611,
Small states,SST,"Life expectancy at birth, total (years)",67.92739376,68.26977195,68.57721416,
Sao Tome and Principe,STP,"Life expectancy at birth, total (years)",66.17134146,66.29070732,66.41665854,
Suriname,SUR,"Life expectancy at birth, total (years)",70.98853659,71.14697561,71.28619512,
Slovak Republic,SVK,"Life expectancy at birth, total (years)",76.41219512,76.81219512,77.21219512,
Slovenia,SVN,"Life expectancy at birth, total (years)",80.32195122,81.07804878,81.07804878,
Sweden,SWE,"Life expectancy at birth, total (years)",81.95609756,82.25365854,82.55121951,
Swaziland,SWZ,"Life expectancy at birth, total (years)",55.11929268,56.10146341,56.91236585,
Seychelles,SYC,"Life expectancy at birth, total (years)",73.1195122,73.22926829,73.22926829,
Syrian Arab Republic,SYR,"Life expectancy at birth, total (years)",70.37543902,70.16321951,70.25265854,
Chad,TCD,"Life expectancy at birth, total (years)",51.7545122,52.18107317,52.55395122,
East Asia & Pacific (IDA & IBRD countries),TEA,"Life expectancy at birth, total (years)",74.06398866,74.22379227,74.38078,
Europe & Central Asia (IDA & IBRD countries),TEC,"Life expectancy at birth, total (years)",72.50947789,72.74292048,72.94809221,
Togo,TGO,"Life expectancy at birth, total (years)",59.15046341,59.57634146,59.92370732,
Thailand,THA,"Life expectancy at birth, total (years)",74.64765854,74.86404878,75.068,
Tajikistan,TJK,"Life expectancy at birth, total (years)",70.62119512,70.82697561,71.00712195,
Turkmenistan,TKM,"Life expectancy at birth, total (years)",67.31404878,67.49068293,67.64104878,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Life expectancy at birth, total (years)",74.73790151,74.95507474,75.16584183,
Timor-Leste,TLS,"Life expectancy at birth, total (years)",68.03782927,68.29295122,68.58002439,
Middle East & North Africa (IDA & IBRD countries),TMN,"Life expectancy at birth, total (years)",72.37593846,72.58283577,72.78920326,
Tonga,TON,"Life expectancy at birth, total (years)",72.56212195,72.70136585,72.84017073,
South Asia (IDA & IBRD),TSA,"Life expectancy at birth, total (years)",67.90665104,68.20916845,68.48545298,
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Life expectancy at birth, total (years)",58.8486612,59.39987928,59.90182611,
Trinidad and Tobago,TTO,"Life expectancy at birth, total (years)",70.31485366,70.45965854,70.58885366,
Tunisia,TUN,"Life expectancy at birth, total (years)",75.15429268,75.31434146,75.49704878,
Turkey,TUR,"Life expectancy at birth, total (years)",74.89604878,75.15214634,75.40709756,
Tanzania,TZA,"Life expectancy at birth, total (years)",63.30560976,64.1184878,64.90331707,
Uganda,UGA,"Life expectancy at birth, total (years)",58.74902439,59.15580488,59.5087561,
Ukraine,UKR,"Life expectancy at birth, total (years)",71.1595122,71.18658537,71.1895122,
